STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-03-17,,62,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-03-18,,66,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-03-19,,72,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-03-20,,66,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-03-21,,68,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-03-22,,64,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-03-23,,63,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-03-24,,62,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-03-25,,70,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-03-26,,80,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-03-27,,59,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-03-28,,71,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-03-29,,71,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-03-30,,62,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-03-31,,62,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-04-01,,61,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-04-02,,66,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-04-03,,67,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-04-04,,59,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-04-05,,57,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-04-06,,61,47
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-04-07,,58,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-04-08,,61,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-04-09,,65,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-04-10,,62,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-04-11,,64,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-04-12,,71,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-04-13,,58,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-04-14,,61,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-04-15,,66,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-04-16,,79,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-04-17,,70,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-04-18,,60,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-04-19,,59,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-04-20,,59,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-04-21,,55,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-04-22,,61,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-04-23,,63,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-04-24,,59,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-04-25,,59,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-04-26,,67,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-04-27,,76,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-04-28,,60,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-04-29,,64,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-04-30,,84,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-05-01,,68,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-05-02,,61,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-05-03,,60,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-05-04,,55,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-05-05,,61,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-05-06,,63,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-05-07,,63,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-05-08,,61,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-05-09,,60,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-05-10,,57,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-05-11,,59,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-05-12,,60,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-05-13,,61,50
